timestamp,test-class,test-method,time,description,result
"2022-05-29 13:29:12.551","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","positive",10103,""[1] recordIndex=0, pattern=30/05/2022-5, title=Amazing CHIMPUM 5, description=Is Amazing at best, creationMoment=2022/05/20 12:00, startDate=2022/07/21 12:00, finishDate=2022/08/01 12:00, budget=EUR 60.00, link=https://www.google.com"","Errors were unexpected, but found"
"2022-05-29 13:29:18.856","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",5820,""[1] recordIndex=0, pattern=01/06/2022-1, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/05/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/08/01 12:00, budget=EUR 60.00, link=https://www.google.com"","OK"
"2022-05-29 13:29:24.96","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",5625,""[2] recordIndex=1, pattern=30/05/2022-2, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/07/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=EUR 60.00, link=https://www.google.com"","OK"
"2022-05-29 13:29:31.0","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",5576,""[3] recordIndex=2, pattern=30/05/2022-2, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/06/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=EUR -60.00, link=https://www.google.com"","OK"
"2022-05-29 13:29:36.974","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",5530,""[4] recordIndex=3, pattern=30/05/2022-2, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/06/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=OSX 60.00, link=https://www.google.com"","OK"
"2022-05-29 13:29:43.743","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",6271,""[5] recordIndex=4, pattern=null, title=null, description=null, creationMoment=null, startDate=null, finishDate=null, budget=null, link=https://www.google.com"","OK"
"2022-05-29 13:29:49.722","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",5579,""[6] recordIndex=5, pattern=30/05/2022-2, title=sex, description=sex, creationMoment=2022/07/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=OSX 60.00, link=https://www.google.com"","OK"
"2022-05-29 13:29:55.751","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",5599,""[7] recordIndex=6, pattern=30/05/2022-2, title=sexy, description=sexy, creationMoment=2022/07/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=OSX 60.00, link=https://www.google.com"","OK"
