timestamp,test-class,test-method,time,description,result
"2022-05-29 14:40:41.218","acme.testing.inventor.artifact.InventorArtifactUpdateTest","positiveTest",16679,""[1] recordIndex=0, artifactType=COMPONENT, name=AC Prueba, code=XWC-173-T, technology=MySQL program, description=Database system, retailPrice=EUR 90.00, published=false, link=https://www.mariadb.com/"","OK"
"2022-05-29 14:40:50.467","acme.testing.inventor.artifact.InventorArtifactUpdateTest","negativeTest",8768,""[1] recordIndex=0, artifactType=COMPONENT, name=AC Prueba, code=null, technology=null, description=null, retailPrice=null, published=null, link=null"","OK"
"2022-05-29 14:40:59.822","acme.testing.inventor.artifact.InventorArtifactUpdateTest","negativeTest",8936,""[2] recordIndex=0, artifactType=COMPONENT, name=AC Prueba, code=ABC-123-T, technology=MySQL, description=Database gestion system, retailPrice=EUR 60.00, published=false, link=null"","OK"
"2022-05-29 14:41:09.124","acme.testing.inventor.artifact.InventorArtifactUpdateTest","negativeTest",8878,""[3] recordIndex=0, artifactType=COMPONENT, name=AC Prueba, code=XGaaC-123-T, technology=MySQL, description=Database gestion system, retailPrice=EUR 60.00, published=false, link=null"","OK"
"2022-05-29 14:41:18.414","acme.testing.inventor.artifact.InventorArtifactUpdateTest","negativeTest",8859,""[4] recordIndex=0, artifactType=COMPONENT, name=AC Prueba, code=ABC-123-T, technology=MySQL, description=Database gestion system, retailPrice=6, published=false, link=null"","OK"
"2022-05-29 14:41:27.655","acme.testing.inventor.artifact.InventorArtifactUpdateTest","negativeTest",8824,""[5] recordIndex=0, artifactType=COMPONENT, name=AC Prueba, code=XWC-123-T, technology=MySQL, description=Database gestion system, retailPrice=ASD -60.00, published=false, link=null"","OK"
