timestamp,test-class,test-method,time,description,result
"2022-05-29 13:38:40.9","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","positive",14009,""[1] recordIndex=0, pattern=30/05/2022-5, title=Amazing CHIMPUM 5, description=Is Amazing at best, creationMoment=2022/05/20 12:00, startDate=2022/07/21 12:00, finishDate=2022/08/01 12:00, budget=EUR 60.00, link=https://www.google.com"","Expected value 'Amazing CHIMPUM 5' in attribute 1 of record 0, but found 'Amazing CHIMPUM 2'"
"2022-05-29 13:38:48.274","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",6901,""[1] recordIndex=0, pattern=01/06/2022-1, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/05/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/08/01 12:00, budget=EUR 60.00, link=https://www.google.com"","OK"
"2022-05-29 13:38:54.597","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",5851,""[2] recordIndex=1, pattern=30/05/2022-2, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/07/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=EUR 60.00, link=https://www.google.com"","OK"
