timestamp,test-class,test-method,time,description,result
"2022-05-29 13:36:29.648","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","positive",14220,""[1] recordIndex=0, pattern=30/05/2022-5, title=Amazing CHIMPUM 5, description=Is Amazing at best, creationMoment=2022/05/20 12:00, startDate=2022/07/21 12:00, finishDate=2022/08/01 12:00, budget=EUR 60.00, link=https://www.google.com"","Expected value 'Amazing CHIMPUM 5' in attribute 1 of record 0, but found 'Amazing CHIMPUM 2'"
"2022-05-29 13:36:35.997","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",5875,""[1] recordIndex=0, pattern=01/06/2022-1, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/05/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/08/01 12:00, budget=EUR 60.00, link=https://www.google.com"","OK"
"2022-05-29 13:36:42.271","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",5784,""[2] recordIndex=1, pattern=30/05/2022-2, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/07/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=EUR 60.00, link=https://www.google.com"","OK"
"2022-05-29 13:36:48.412","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",5714,""[3] recordIndex=2, pattern=30/05/2022-2, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/06/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=EUR -60.00, link=https://www.google.com"","OK"
"2022-05-29 13:36:54.672","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",5813,""[4] recordIndex=3, pattern=30/05/2022-2, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/06/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=OSX 60.00, link=https://www.google.com"","OK"
"2022-05-29 13:37:01.184","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",6059,""[5] recordIndex=4, pattern=null, title=null, description=null, creationMoment=null, startDate=null, finishDate=null, budget=null, link=https://www.google.com"","OK"
"2022-05-29 13:37:07.902","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",6319,""[6] recordIndex=5, pattern=30/05/2022-2, title=sex, description=sex, creationMoment=2022/07/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=OSX 60.00, link=https://www.google.com"","OK"
"2022-05-29 13:37:14.181","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",5798,""[7] recordIndex=6, pattern=30/05/2022-2, title=sexy, description=sexy, creationMoment=2022/07/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=OSX 60.00, link=https://www.google.com"","OK"
