timestamp,test-class,test-method,time,description,result
"2022-05-29 12:59:56.758","acme.testing.inventor.chimpum.InventorChimpumCreateTest","positive",9553,""[1] recordIndex=0, pattern=12/08/2022-1, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/05/20 12:00, startDate=2022/07/21 12:00, finishDate=2022/08/01 12:00, budget=EUR 60.00, link=https://www.google.com"","Errors were unexpected, but found"
"2022-05-29 13:00:03.446","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",6141,""[1] recordIndex=0, pattern=01/06/2022-1, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/05/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/08/01 12:00, budget=EUR 60.00, link=https://www.google.com"","OK"
"2022-05-29 13:00:09.584","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",5634,""[2] recordIndex=1, pattern=30/05/2022-2, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/07/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=EUR 60.00, link=https://www.google.com"","OK"
"2022-05-29 13:00:15.582","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",5521,""[3] recordIndex=2, pattern=30/05/2022-2, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/06/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=EUR -60.00, link=https://www.google.com"","OK"
"2022-05-29 13:00:21.491","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",5485,""[4] recordIndex=3, pattern=30/05/2022-2, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/06/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=OSX 60.00, link=https://www.google.com"","OK"
"2022-05-29 13:00:27.815","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",5863,""[5] recordIndex=4, pattern=null, title=null, description=null, creationMoment=null, startDate=null, finishDate=null, budget=null, link=https://www.google.com"","OK"
"2022-05-29 13:00:33.741","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",5480,""[6] recordIndex=5, pattern=30/05/2022-2, title=sex, description=sex, creationMoment=2022/07/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=OSX 60.00, link=https://www.google.com"","OK"
"2022-05-29 13:00:39.682","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",5471,""[7] recordIndex=6, pattern=30/05/2022-2, title=sexy, description=sexy, creationMoment=2022/07/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=OSX 60.00, link=https://www.google.com"","OK"
"2022-05-29 13:00:46.097","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",5997,""[8] recordIndex=6, pattern=29/05/2022-1, title=sexy, description=sexy, creationMoment=2022/07/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=OSX 60.00, link=https://www.google.com"","OK"
