timestamp,test-class,test-method,time,description,result
"2022-05-29 13:39:42.371","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","positive",12729,""[1] recordIndex=0, pattern=30/05/2022-5, title=Amazing CHIMPUM 5, description=Is Amazing at best, creationMoment=2022/05/20 12:00, startDate=2022/07/21 12:00, finishDate=2022/08/01 12:00, budget=EUR 60.00, link=https://www.google.com"","null"
"2022-05-29 13:39:49.37","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",6506,""[1] recordIndex=0, pattern=01/06/2022-1, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/05/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/08/01 12:00, budget=EUR 60.00, link=https://www.google.com"","OK"
"2022-05-29 13:39:56.248","acme.testing.inventor.chimpum.InventorChimpumUpdateTest","negative",6419,""[2] recordIndex=1, pattern=30/05/2022-2, title=Amazing CHIMPUM 3, description=Is Amazing at best, creationMoment=2022/07/20 12:00, startDate=2022/01/21 12:00, finishDate=2022/07/21 12:00, budget=EUR 60.00, link=https://www.google.com"","OK"
