timestamp,test-class,test-method,time,description,result
"2022-05-29 14:36:02.927","acme.testing.inventor.artifact.InventorArtifactUpdateTest","positiveTest",12341,""[1] recordIndex=0, artifactType=COMPONENT, name=AC Prueba, code=XWC-173-T, technology=MySQL program, description=Database system, retailPrice=EUR 90.00, published=false, link=https://www.mariadb.com/"","A listing was expected, but doesn't exist"
"2022-05-29 14:36:12.243","acme.testing.inventor.artifact.InventorArtifactUpdateTest","negativeTest",8801,""[1] recordIndex=0, artifactType=COMPONENT, name=AC Prueba, code=null, technology=null, description=null, retailPrice=null, published=null, link=null"","OK"
"2022-05-29 14:36:21.504","acme.testing.inventor.artifact.InventorArtifactUpdateTest","negativeTest",8845,""[2] recordIndex=0, artifactType=COMPONENT, name=AC Prueba, code=ABC-123-T, technology=MySQL, description=Database gestion system, retailPrice=EUR 60.00, published=false, link=null"","OK"
"2022-05-29 14:36:30.874","acme.testing.inventor.artifact.InventorArtifactUpdateTest","negativeTest",8955,""[3] recordIndex=0, artifactType=COMPONENT, name=AC Prueba, code=XGaaC-123-T, technology=MySQL, description=Database gestion system, retailPrice=EUR 60.00, published=false, link=null"","OK"
"2022-05-29 14:36:40.06","acme.testing.inventor.artifact.InventorArtifactUpdateTest","negativeTest",8771,""[4] recordIndex=0, artifactType=COMPONENT, name=AC Prueba, code=ABC-123-T, technology=MySQL, description=Database gestion system, retailPrice=6, published=false, link=null"","OK"
